,Review,Grade
0,"Let us address the elephant in the room first. The absence of the National Dex. Yes, it is terrible, lazy, blah blah blah. I am sure you've already heard this in hundreds of other reviews. So instead of me wasting your time by complaining about something you are already well aware of, I will focus on the rest of SwSh's shortcomings. For reference, I have played every mainline Pokemon game to completion and have currently sunk 40 hours into Shield; I'd imagine my criticisms also apply to Sword. In the interest of brevity, I will be utilizing acronyms: (SwSh = Sword/Shield, S/M = Sun/Moon, etc).

The most succinct way to put it is SwSh essentially feels like a 3DS game ported to the Switch. This applies to every facet of the game: from its gameplay features to its visual presentation, to its story/characters. I believe whether or not you enjoy SwSh depends entirely upon how you view the 7th Gen games. Contrary to what the devs promised us last year, SwSh is most assuredly NOT meant for the ""core"" Pokemon fans. As a veteran of the series myself, I can say with certainty the abysmally low level of difficulty in conjunction with the simplification and outright removal of many features is the exact opposite of what I'd want. SwSh is nearly as simplified as LGPE, which wouldn't be an issue if the devs addressed it as such, but somehow they seem to think this is what qualifies as a satisfying mainline game in 2019. Yes, Pokemon has always been a franchise aimed primarily at children. The games have never been truly difficult when compared to many of their JRPG contemporaries. Yet, for some reason Game Freak felt the need to crank that difficulty setting from ""Easy"" down to ""Braindead"". S/M may have been easy, but it was LEAGUES more challenging than Shield. Accessibility is one thing, but this is taking it to such an extreme it nearly removes all the fun. A ""Hard Mode"" option selectable from the outset would have worked wonders. And of course, as is common for the past several entries in the Pokemon series, the post-game content is practically non-existent.

So, SwSh basically fails when viewed purely as a ""game"", but what of the other aspects I mentioned? After all, JRPGs with subpar gameplay can still be surprisingly enjoyable if the narrative holds enough merit. I am sad to report that SwSh also completely fails in this regard. The writing is oftentimes so atrocious I've found myself wishing to skip these scenes entirely. This is par for the course as none of the mainline games (barring the ""attempts"" made in B/W) have really delivered anything substantive in the way of competent storytelling. However, with the majority of other Pokemon games, they at least had good gameplay to compensate for the lackluster story; a factor which is completely absent from SwSh due to its inherent simplified nature and toddler-pandering difficulty.

Well, there is only one thing left to discuss since delving into too much detail on the above points causes me to exceed the character limit. The final point of contention is the visual fidelity and graphical offerings SwSh brings to the table. This is after all, a game made for the Switch; a console/handheld hybrid with roughly 10x the computational power of Pokemon's former home, the 3DS. Let's get the pesky numbers out of the way first. SwSh runs at a dynamic resolution on both docked and portable modes. In docked mode, the resolution fluctuates from 1080p to 864p. Likewise, during portable play, the highest res is 720p which descends to 576p on frequent occasions. This is somewhat disappointing considering LGPE was capable of running at 1080p docked/720p portable at all times. The framerate target is 30fps, which exhibits frame pacing problems and severe drops in a variety of areas. The most evident manifestation of these issues can be seen in the Wild Area, wherein both pacing and framerate are pushed to their absolute worst. This is a massive problem considering the majority of your time, especially in post-game, will likely be spent in the Wild Area.

Aside from the quantifiable metrics highlighted above, there are plenty of other visual shortcomings to boot. Terrible terrain detail, awful textures, constant pop-in, stilted animations, low polygon count for both the human character models as well as the Pokemon, and countless other issues such as these result in a game that resembles something released over a decade ago. Many detractors claim SwSh looks like a PS2/GC game, which is definitely an exaggeration, but what we got is by no means acceptable for a non-indie game released in 2019. And yes, many of the animations and ALL the returning Pokemon models have been copy-and-pasted with negligible improvements for SwSh.

It's one thing to sacrifice content for a more polished, higher quality game, but that is very clearly not what happened here. I genuinely hope these issues can be sorted out in future releases; I am not ready to give up hope on Pokemon just yet. Collapse",4
1,"Reposting from my Pokémon Sword review, since they are the same game:

Not worth your time. Aside from the National dex issues, this game is one more example of the ""half a step forward, three steps back"" that Gamefreak has had for quite a while now. The wild area, a selling point for the games, feels unfinished and buggy, far less polished graphically than the rest of the game, and with big pop-in and lag issues. It is also extremely small, only really feeling as a couple of open routes rather than an ""open world"" experience. The rest of the routes are basically hallways that don't reward or encourage exploration whatsoever, a terrible thing when we are talking about a JRPG. It's sad to see Mario Kart having circuits more complex than this.

The difficulty is abysmal, with no ability to turn off the global EXP. Share and way too much experience being given for doing anything. Unless you are constantly switching between 12-20 Pokémon, you will find yourself at least 4-5 levels over gym leaders. You might also have to avoid trainers and certain features, like Pokémon Camp, to try to make it a ""fair"" gameplay experience.
Following that last point, this also includes another selling point of this games, the raid battles. You will find yourself able to one-shot a lot of the raid Pokémon, sometimes without even dynamaxing yourself.

For the last big selling point, dynamax and gigantamax, you should also know that only a few Pokémon will be able to do so. The effect can not be passed down, so if you want a specific Pokémon to dyna/gigantamax you might spend hours to find it.

Be warned: there is no post-game either. A small 1h chapter and Battle Tower 3.0 is all you will have left. Since the legendaries are all shiny locked, there are no legendaries from other regions, no GTS and the wild area is tremendously shallow, this game does not come close to having the shelf life that previous entries had. Even XY, one of the worst post-games the series had, is marginally better than this.

As a final warning, the touch screen is not compatible with this game. This means that you will not be able to pet your Pokémon like you could in the 3DS entries. Pokémon Camp ""replaces"" this feature, but you can barely interact with your Pokémon, who will wander aimlessly.

In conclusion, every single previous Pokémon entry, including the Let's Go games, has more to offer than this game. I would severely recommend replaying or revisiting older Pokémon games you might not have played if you want you nostalgia fix. Collapse",3
2,"What should have been a giant leap to significantly stronger hardware feels more like a port from 3DS. New features and improvements come at way too high a price, both literally and figuratively (half of the Pokemon gone, for starters). Gamefreak continues to disappoint and Pokemon as a series stands out as a black sheep among other loved Nintendo franchises on Switch.",4
3,"10 routes
Virtually no difficulty
2 endgame battle tower game modes beatable in 1 hour
Roughly 12 hour story
No dungeons
Below average graphics, world barely interacts with objects/pokemon(especially wild area)
Of course the pokedex purge
Some new pokemon designs leave alot to be desired, some designs are genuinely good we must not forget, but too many humanoid pokemon(every starter evolves into a humanoid) and too simple designs(Eiscue)
and most importantly, the No Man's Sky level of damage control from GameFreak instead of listening to it's customer base who have been fans long enough to know what they generally want in Pokemon games, they only need to look at their masterpieces HG/SS to know which direction to follow(good endgame, pokemon following you) and to top it off I just WISH gamefreak would include difficulty options in their games, unlockable after the first clear, why do they not do it? We grew up, the games are no longer a challenge so why not add more difficult new game+?

Big Disappointment, see you in gen 9 or Sinnoh remakes, because the ""complete"" SwSh will most likely be the same garbage. Collapse",4
4,"Was promised a game for ""long time fans of the series"" now my living dex will probably have to be locked in Pokemon jail (home) and half my competitive mons won't be usable until I pay for another game at the same price as smash ultimate or breath of the wild. My disappointment is immeasurable, and less than half my day is ruined, because the game is like 10 hours long, and if I wanted 10 hours of entertainment I would've bought the LoTR extended trilogy for half the price Collapse",1
5,"After ""it all comes together"" and ""ultra changes"", generation 8 adds more lies to GameFreak's pile of shame. They promise a lot, and they again fail to deliver in almost every single aspect. This time, however, the technical shortcomings, lack of polish, and shortage of ambition is covered up by a veil of scam-level dishonesty from the developers themselves and a blanket of praise from ""unbiased"" game critics, whose reviews sound more like advertisements than genuine reviews.

The decision to cut over half the existing Pokémon from the game under the pretense of filling the game with content and quality animations wouldn't be so bad if the results could be seen in the game. However, the games are just as hollow as their predecessors, if not even more. Complete lack of difficulty, constant hand-holding, horrible plot, insufferable cutscenes and barely anything to do post-game is something that seems we will have to get used to, as it's apparently the new standard from now on, and any future games will probably be evaluated with regards to the bar set this laughably low.

Pokémon is finally dead. As an avid fan since red and blue, I say it with a heavy heart. What started six years ago, with the release of Pokémon X and Y, finally came to fruition - a game so hollow and dumbed down, that even the awful past two generations look full of content compared to it. What was once a flawed, but ultimately fun franchise with a mediocre, but really passionate team of developers behind it, finally succumbed to the disease of brand-loyalty blinded fanbase that can see no wrong in the games as long as they have the Pokemon logo stamped on. This tremendous fall in quality is entirely their fault and no one else's - this is the best time for GameFreak to implement egregious monetization schemes in their next games, as not only will they evade any criticism from game critics, but will be largely praised for it by a large group of fans, which is truly asinine.

What's left is to hope that a team of talented developers will see the growing disenchantment with the series and decide to step in, fill the void and dethrone the corrupted king of the monster catching genre. Collapse",2
6,"This game is rushed and unfinished. No matter how many times they try and say otherwise, this game was rush out of the door, since Pokemon game releases are tied to merchandise and such (I mean, Pokemon is the highest grossing franchise for a reason). But because of this, we get a subpar entry, which lots of cut content, awful graphics, and a lot of decisions that will make you go: ""What the ****",0
7,This game made my daughter cry. Many of her favs are gone. I have noticed that the game is also rather ugly and glitchy. Do not buy.,0
8,"This game feels like a port from the 3DS, not a new game built for the system

While many fans will enjoy these games, for me, it feels like the same game as the last 7 Generations with a Graphical upgrade that is Impressive compared to the past 3DS games but quite bad compared to other Switch games",4
9,"The quality of this game REALLY does not justify the cuts that have been made. Graphics are severely dated with some awful resolutions and clipping. The world is so linear it feels like a hallway with a cutscene every few steps. The endgame is nonexistent. The battle animations are taken straight from the old games. And honestly, the new Pokémon designs are some of the worst I’ve ever seen. Most of them look like a couple overlapping shapes with a painted on face. GameFreak really phoned it in on this one. Time to give Pokémon to someone else. Collapse",2
