,url,회사명,타이틀
0,https://www.wanted.co.kr/wd/77386,보로노이,데이터 사이언티스트
1,https://www.wanted.co.kr/wd/90328,모빅랩,데이터 사이언티스트
2,https://www.wanted.co.kr/wd/88616,한국공간데이터,Data Scientist / 데이터 사이언티스트
3,https://www.wanted.co.kr/wd/75268,스몰티켓,"데이터 분석가, 데이터 사이언티스트 (3년 이상)"
4,https://www.wanted.co.kr/wd/94524,아이템스카우트,데이터 사이언티스트 및 분석가
5,https://www.wanted.co.kr/wd/40112,딥브레인에이아이,데이터 사이언티스트
6,https://www.wanted.co.kr/wd/83198,소프트베리,EVI Data Scientist / 데이터 사이언티스트
7,https://www.wanted.co.kr/wd/97929,자란다,[데이터팀]데이터 사이언티스트
8,https://www.wanted.co.kr/wd/97843,알고케어,데이터 사이언티스트 리드(Lead)
9,https://www.wanted.co.kr/wd/38971,알티엠,데이터 사이언티스트(Data Scientist)
10,https://www.wanted.co.kr/wd/97848,에이앤티랩스,데이터 사이언티스트(Data Scientist)(신입)
11,https://www.wanted.co.kr/wd/66205,에이앤티랩스,데이터 사이언티스트(Data Scientist)-2년이상
12,https://www.wanted.co.kr/wd/92165,카카오스타일(Kakao Style),"지그재그 데이터 사이언티스트(추천, 개인화)"
13,https://www.wanted.co.kr/wd/79369,타다(VCNC),타다(TADA) 데이터 사이언티스트
14,https://www.wanted.co.kr/wd/75057,토스뱅크,Data Scientist (데이터 사이언티스트)
15,https://www.wanted.co.kr/wd/77659,하나금융티아이,[하나금융융합기술원]데이터 사이언티스트(Data Scientist) 석/박사 연구원
16,https://www.wanted.co.kr/wd/32686,큐리어슬리,[에어클래스] 데이터 사이언티스트 / 데이터 엔지니어
17,https://www.wanted.co.kr/wd/94188,비포플레이,Data Scientist 데이터 사이언티스트
18,https://www.wanted.co.kr/wd/63936,파이온코퍼레이션,[브이캣] 데이터 사이언티스트 / 머신러닝&딥러닝 엔지니어
19,https://www.wanted.co.kr/wd/92533,그린랩스,데이터 사이언티스트
20,https://www.wanted.co.kr/wd/26139,매드업,[테크사업부] 데이터 사이언티스트
21,https://www.wanted.co.kr/wd/95920,플래티어,데이터 사이언티스트 (시니어)
22,https://www.wanted.co.kr/wd/23802,플래티어,데이터 사이언티스트 (주니어)
23,https://www.wanted.co.kr/wd/60162,휴머스온,데이터 사이언티스트
24,https://www.wanted.co.kr/wd/88621,인터파크,데이터 사이언티스트
25,https://www.wanted.co.kr/wd/20656,베이글코드(Bagelcode),데이터 사이언티스트 / Data Scientist
26,https://www.wanted.co.kr/wd/65748,온택트헬스,데이터 사이언티스트
27,https://www.wanted.co.kr/wd/88513,엔라이튼,데이터 사이언티스트 (시니어)
28,https://www.wanted.co.kr/wd/60530,카비(CARVI),(전문연구요원) 데이터 사이언티스트
29,https://www.wanted.co.kr/wd/29348,쏘카(SOCAR),데이터 사이언티스트(비즈니스)
30,https://www.wanted.co.kr/wd/82933,더블유컨셉코리아(wconcept),데이터 사이언티스트
31,https://www.wanted.co.kr/wd/87208,브랜디(Brandi),[랩스] 데이터 사이언티스트 (Data Scientist)
32,https://www.wanted.co.kr/wd/88213,브랜디(Brandi),[헬피] 데이터 사이언티스트 (Data Scientist)
33,https://www.wanted.co.kr/wd/32291,하쿠호도제일,데이터 사이언티스트
34,https://www.wanted.co.kr/wd/85374,더블다운인터액티브,데이터 사이언티스트
35,https://www.wanted.co.kr/wd/88989,하나투어,데이터 사이언티스트
36,https://www.wanted.co.kr/wd/94215,서울벤처스,데이터 사이언티스트
37,https://www.wanted.co.kr/wd/94654,쿠팡,[쿠팡페이] 시니어급 알고리즘 엔지니어 & 데이터 사이언티스트_CSS(Credit Scoring System - 신용평가모형)
38,https://www.wanted.co.kr/wd/85261,와따,데이터 사이언티스트
39,https://www.wanted.co.kr/wd/92961,씨제이올리브영(CJ올리브영),데이터 사이언티스트(Data Scientist)
40,https://www.wanted.co.kr/wd/92959,씨제이올리브영(CJ올리브영),데이터 사이언티스트 (Data Scientist)
41,https://www.wanted.co.kr/wd/83596,티빙(TVING),데이터 사이언티스트
42,https://www.wanted.co.kr/wd/48243,휴이노,딥러닝 연구원(데이터 사이언티스트)
43,https://www.wanted.co.kr/wd/59115,컨택스츠아이오(contxts.ioInc.),데이터 사이언티스트 (Data scientist)
44,https://www.wanted.co.kr/wd/70083,넥슨코리아(NEXON),[인텔리전스랩스] 이상탐지/어뷰징탐지 데이터 사이언티스트/머신러닝 엔지니어
45,https://www.wanted.co.kr/wd/48892,넥슨코리아(NEXON),[인텔리전스랩스] 경험최적화 데이터 사이언티스트/분석가
46,https://www.wanted.co.kr/wd/79444,이몰디노(eMoldino),데이터 사이언티스트 (2~3년차)
47,https://www.wanted.co.kr/wd/99085,파일러,데이터 사이언티스트
